α,β,I,O,z,R,minAdv,avgAdv,ratio
56,7,48.4900612198051,55.0099387801949,-84.5358857095865,133.471453309856,0.860892570757489,2.7831336743661,0.309324909071631
57,9,48.039650774831,56.460349225169,-86.2745182484689,136.431142804416,0.89242172033103,2.88661652716216,0.309158390778137
57,8,48.5419337743044,55.9580662256956,-84.5540130754764,133.243454219474,0.862111184597135,2.79010391814362,0.30898891578588
56,8,47.9883705594225,55.5116294405775,-86.2912540490096,136.726852862872,0.889152082392001,2.88027670363485,0.308703702415087
55,6,48.441766666488,54.058233333512,-84.5102453777524,133.686119239646,0.854382794021387,2.77872252866157,0.307473231029266
55,7,47.9405606332592,54.5594393667409,-86.2980657177889,137.004338651152,0.883766808558162,2.87642446002358,0.307244921895469
55,5,48.9429041353315,53.5570958646685,-82.9174525547816,130.755744339546,0.821338745260257,2.69571861073198,0.304682670509603
54,6,47.8968121338961,53.6031878661039,-86.2921377048628,137.258519658611,0.875939042271096,2.87536009659966,0.304636293487889
54,5,48.3976325584551,53.1023674415449,-84.4722675614105,133.878350211734,0.844836466826946,2.77752663477062,0.304168628394348
58,10,48.093799366413,57.406200633587,-86.2505748489799,136.122098001709,0.875415463863927,2.89496274362476,0.30239265282144
56,6,48.9916653231539,54.5083346768461,-82.9725184819869,130.597828689383,0.815544099381391,2.69987914361173,0.302066891146249
53,5,47.857704009561,52.642295990439,-86.2729701064586,137.488953687293,0.865134800265748,2.87779788583699,0.300623891804038
54,4,48.8984006731182,52.6015993268818,-82.8507715868869,130.892735337606,0.809392547335645,2.69515983017976,0.300313375953538
58,9,48.5967903068215,56.9032096931785,-84.5665007387907,133.005327994488,0.838051584576229,2.79930427459679,0.299378524936144
53,4,48.3582283617859,52.1417716382141,-84.4193137395133,134.043423157207,0.831524842597798,2.7803770697883,0.29906909089173
57,7,49.0441106925745,55.4558893074255,-83.0182036543444,130.422912945426,0.801693734429386,2.7069554600981,0.296160666936253
52,4,47.8238015637595,51.6761984362405,-86.2357064279213,137.686492334504,0.850614382534095,2.88480931013899,0.294859829918226
53,3,48.85871473382,51.64128526618,-82.7702267219849,131.004854451953,0.792154375989229,2.69935952527269,0.293460122141087
57,10,47.5372626893199,56.9627373106801,-88.2569332867841,140.140318663913,0.876481985657278,3.00492032930943,0.291682270943505
52,3,48.3241091220334,51.1758908779666,-84.3486495794534,134.176430100814,0.813178988910306,2.78870233897576,0.291597628597741
55,4,49.443972559033,53.056027440967,-81.4693373969882,128.112600780861,0.759757531031182,2.62273555895453,0.289681332316262
59,11,48.1502050295567,58.3497949704433,-86.2224879017026,135.80531007646,0.840497646879987,2.90505307341597,0.289322647689761
59,10,48.6540265816257,57.8459734183743,-84.5741303043031,132.75810407259,0.812509751420346,2.81041157439956,0.289107032870777
56,5,49.4931821803892,54.0068178196108,-81.5469011715549,127.997562669856,0.759106101125603,2.62619209843533,0.28905200863938
58,8,49.0996543373429,56.4003456626571,-83.0566660595904,130.234775519695,0.784287201316103,2.71642241441439,0.288720633858111
51,3,47.7956549476409,50.7043450523591,-86.1756735146335,137.842360804709,0.831113644759438,2.89813680943261,0.286775159148595
54,3,49.399116158011,52.100883841989,-81.3803693332522,128.20720120639,0.75091288543545,2.6234249224951,0.286233800325899
57,6,49.5461805779589,54.9538194220411,-81.6151403308604,127.865705310205,0.75196013731862,2.63290387957482,0.285601059405196
59,9,49.1576993385636,57.3423006614364,-83.0899878585774,130.03704958946,0.77427219032906,2.72798731637534,0.283825436313916
52,2,48.8243909383073,50.6756090616927,-82.6737938925758,131.088610507584,0.766922663489309,2.71103386847529,0.282889370142998
60,11,48.7130294965686,58.7869705034314,-84.5790814800885,132.505614795648,0.796696485068205,2.82330515905901,0.282185750453465
51,2,48.2958139682472,50.2041860317528,-84.2574384429776,134.272265154241,0.787305633169553,2.80610615182313,0.280568727828788
58,7,49.6023901822218,55.8976098177782,-81.6760614622633,127.720507146755,0.74040669298653,2.64226153847572,0.28021703461409
58,11,47.5906828463428,57.9093171536572,-88.184534227083,139.736289302314,0.841289304801085,3.01096293576523,0.279408721644484
56,4,49.99461113629,53.50538886371,-80.2283487838872,125.609368851816,0.710352663439722,2.55962788930192,0.277521848550203
60,12,48.208248434983,59.291751565017,-86.1975286455447,135.494792070959,0.809012715715476,2.91675398327018,0.2773674846613
59,8,49.6612216314887,56.8387783685113,-81.7316004205384,127.565311288201,0.735901843475725,2.65388618430432,0.277292164158362
53,2,49.3591629257676,51.1408370742324,-81.2778401007561,128.277597321662,0.728170427627038,2.63042300669776,0.276826360540841
57,5,50.0481425220308,54.4518574779692,-80.3164605491418,125.515189351256,0.709360080811866,2.56561153619256,0.276487718738815
60,10,49.2176390909115,58.2823609090885,-83.1201750706428,129.833222418805,0.756168872162334,2.74134949098167,0.275838186502645
55,3,49.9449714826557,52.5550285173443,-80.1309608593907,125.686894558046,0.703801515833478,2.55728276900585,0.275214584935041
50,2,47.7737975906965,49.7262024093035,-86.0894461041762,137.950286966993,0.804221426614477,2.9227182403692,0.275162147177378
61,12,48.7731784219367,59.7268215780633,-84.5834468170945,132.251524833504,0.775294049768553,2.83770995833664,0.273211167156421
58,6,50.10499661984,55.39500338016,-80.3971765880759,125.407584920081,0.703124459581908,2.57457035515347,0.273103610540096
60,9,49.7220750789289,57.7779249210711,-81.783623576593,127.403327936922,0.72075078497608,2.66742502947492,0.270204701917325
57,4,50.5499956594049,53.9500043405951,-79.1016933046035,123.330503854183,0.671669137077722,2.50368296022901,0.268272440140058
59,7,50.1645918581574,56.3354081418426,-80.4723109046586,125.289657422601,0.693578397570534,2.58593633607434,0.268211706489048
59,12,47.6462364183493,58.8537635816507,-88.1146367840479,139.33773225502,0.809488308617181,3.01873736411492,0.268154599416276
54,2,49.8997787122904,51.6002212877096,-80.0223462695118,125.744403392286,0.686399746753952,2.56036578162166,0.268086595939119
61,11,49.2788586179393,59.2211413820607,-83.1492250478884,129.626770236117,0.735913158594641,2.75636182227636,0.26698713958637
56,3,50.495951569353,53.0040484306471,-78.9957975297462,123.391200910919,0.666873412158052,2.49869639843673,0.266888531385915
58,5,50.607472482401,54.892527517599,-79.2001369756344,123.256340305358,0.670389016700252,2.51193783085392,0.266881213565846
61,13,48.2673035921231,60.2326964078769,-86.1727331718631,135.184093737408,0.780601628694109,2.92998266240268,0.266418514590796
60,8,50.2263354024484,57.2736645975516,-80.5436134111728,125.164386311635,0.690136906044747,2.59943471242946,0.265494995025183
51,1,48.7959572468171,49.7040427531829,-82.5576821062307,131.136984972342,0.72496065878908,2.73351246996436,0.265212127895847
59,6,50.6678084825201,55.8321915174798,-79.2928382103089,123.17160582409,0.664824970893361,2.52287746284244,0.263518534167857
50,1,48.273864554867,49.226135445133,-84.1427287192284,134.325599171919,0.747274238459091,2.83736023080742,0.263369532830324
62,13,48.8338465458927,60.6661534541073,-84.5907788472887,132.002425379007,0.750759210070074,2.85359995240896,0.263091961939618
61,10,49.78434148528,58.71565851472,-81.8339284489801,127.237635564752,0.704369988797131,2.68271103752517,0.262559022922916
55,2,50.4459004769959,52.0540995230041,-78.8806773138986,123.435416183655,0.653473020505554,2.49841502351896,0.261555031631675
58,4,51.1098166556335,54.3901833443665,-78.0720397013187,121.241045596208,0.640856859157139,2.45345183195201,0.261206211921945
57,3,51.0517391675335,53.4482608324665,-77.9585156909776,121.287081572972,0.637424069870459,2.44615286502688,0.260582271445025
59,5,51.1708700343016,55.3291299656984,-78.1794361585664,121.183741900846,0.639336976124297,2.4637548535174,0.259496993059817
61,9,50.2896244262212,58.2103755737788,-80.6127714323098,125.034631532756,0.678139498696128,2.61473135084293,0.259353412532233
52,1,49.3246468980378,50.1753531019622,-81.1595088462585,128.319860817877,0.684927666374541,2.64605332784224,0.258848776465543
60,7,50.7304180835991,56.7695819164009,-79.3814471159816,123.079082350657,0.65626771111749,2.53606841491994,0.258773662120708
62,12,49.3407358898491,60.1592641101509,-83.1823689506464,129.427643089656,0.715410473565323,2.77286780278962,0.258003815705023
60,13,47.7032981267968,59.7967018732032,-88.0449437387516,138.939521228886,0.780730881299817,3.02813909907841,0.257825303182878
49,1,47.7587445617209,48.7412554382792,-85.9734580204472,138.00372371186,0.763696485570875,2.96572484025349,0.257507532460631
56,2,50.9972028916591,52.5027971083409,-77.8371852065913,121.319013487653,0.627073856168838,2.44291977362524,0.256690319075961
62,14,48.3267392233801,61.1732607766199,-86.1503009611198,134.87709854375,0.754911359577664,2.94472053167138,0.256360952239222
60,6,51.2343212242364,56.2656787757636,-78.2831189648025,121.119482040657,0.634280185616281,2.47648725279778,0.256120916794428
63,15,48.3859201643419,62.1140798356581,-86.1323239555358,134.577481723607,0.758183907545084,2.96087434627062,0.256067572911379
64,17,47.9339484617366,63.5660515382634,-87.820525740482,137.444377875095,0.785425920958615,3.0817517602992,0.254863461449718
62,11,49.8474039100698,59.6525960899302,-81.886665126535,127.076023648408,0.68732344384286,2.6995426481119,0.254607366297244
